feature,gain,split,shap_abs_mean
rolling_7_mean,10665620512592.0,2433,242.48526720043878
lag_1,3851008549804.0,4175,166.4345280448533
lag_7,8168385840150.0,3644,104.28221746736429
transactions,544991544398.0,8002,41.545524903006964
onpromotion,119892215457.0,5066,38.37493734587326
lag_14,1502870010494.0,3135,31.20299926425932
rolling_14_mean,550177047128.0,1755,28.811832479859603
day,167101492608.0,6626,15.007661767714326
cluster,67915204293.0,4751,14.053739377071043
lag_28,329006316738.0,3407,13.087474546834859
dayofweek,125279640584.0,3006,11.122473581377012
state,18668780619.0,1977,8.022876884289326
rolling_14_std,35746158335.0,2270,5.842245322253738
dow_sin,38309914285.0,1620,4.844859625512349
rolling_7_std,72743403844.0,2516,4.80449339943086
dcoilwtico,59904637362.0,6301,2.482376307830065
type,7903754513.0,695,2.4052432548728464
year,14939975098.0,1267,2.2899654043413324
dow_cos,19777892046.0,1411,2.2511632854702315
is_holiday,34606387111.0,1225,1.8234671516045642
weekofyear,72646866254.0,5211,1.8043592057141074
is_weekend,10147734674.0,232,1.4351214004356747
month_cos,14665805703.0,1302,1.0946602207015688
month_sin,20244108270.0,1513,1.0902990941271162
month,25376241130.0,1430,0.9574216873812834
