feature,gain,split
rolling_7_mean,10665620512592.0,2433
lag_7,8168385840150.0,3644
lag_1,3851008549804.0,4175
lag_14,1502870010494.0,3135
rolling_14_mean,550177047128.0,1755
transactions,544991544398.0,8002
lag_28,329006316738.0,3407
day,167101492608.0,6626
dayofweek,125279640584.0,3006
onpromotion,119892215457.0,5066
rolling_7_std,72743403844.0,2516
weekofyear,72646866254.0,5211
cluster,67915204293.0,4751
dcoilwtico,59904637362.0,6301
dow_sin,38309914285.0,1620
rolling_14_std,35746158335.0,2270
is_holiday,34606387111.0,1225
month,25376241130.0,1430
month_sin,20244108270.0,1513
dow_cos,19777892046.0,1411
state,18668780619.0,1977
year,14939975098.0,1267
month_cos,14665805703.0,1302
is_weekend,10147734674.0,232
type,7903754513.0,695
