feature,shap_value,feature_value,abs_shap
rolling_7_mean,1575.0739621800499,3748.0,1575.0739621800499
lag_1,814.8458163621634,2426.0,814.8458163621634
lag_7,725.4212032793728,4605.0,725.4212032793728
transactions,-278.4194736160929,1172.0,278.4194736160929
rolling_7_std,-259.06223312103106,3528.9432790378864,259.06223312103106
dayofweek,153.93049709661582,6,153.93049709661582
rolling_14_mean,128.4277479633959,2836.5714285714284,128.4277479633959
onpromotion,110.8448077512493,26,110.8448077512493
lag_28,-86.81164473701205,2368.0,86.81164473701205
state,84.89254556229821,Manabi,84.89254556229821
cluster,68.50781602504513,3,68.50781602504513
day,-53.788093625841704,11,53.788093625841704
lag_14,-47.59558589574578,2683.0,47.59558589574578
month_sin,-14.215929752902545,0.49999999999999994,14.215929752902545
is_weekend,12.946567528307243,1,12.946567528307243
dcoilwtico,-11.542904381310732,45.82,11.542904381310732
dow_sin,11.026137817170161,-0.7818314824680299,11.026137817170161
dow_cos,9.076765622580949,0.6234898018587334,9.076765622580949
year,-7.8963173429482625,2017,7.8963173429482625
weekofyear,-7.483065782806834,23,7.483065782806834
month_cos,-6.826794383908422,-0.8660254037844387,6.826794383908422
rolling_14_std,-6.197174335770695,2599.4522711313825,6.197174335770695
is_holiday,4.810052010570556,0,4.810052010570556
type,-4.610417374535382,C,4.610417374535382
month,-2.8601957286742357,6,2.8601957286742357
