feature,shap_abs_mean
rolling_7_mean,242.48526720043878
lag_1,166.4345280448533
lag_7,104.28221746736429
transactions,41.545524903006964
onpromotion,38.37493734587326
lag_14,31.20299926425932
rolling_14_mean,28.811832479859603
day,15.007661767714326
cluster,14.053739377071043
lag_28,13.087474546834859
dayofweek,11.122473581377012
state,8.022876884289326
rolling_14_std,5.842245322253738
dow_sin,4.844859625512349
rolling_7_std,4.80449339943086
dcoilwtico,2.482376307830065
type,2.4052432548728464
year,2.2899654043413324
dow_cos,2.2511632854702315
is_holiday,1.8234671516045642
weekofyear,1.8043592057141074
is_weekend,1.4351214004356747
month_cos,1.0946602207015688
month_sin,1.0902990941271162
month,0.9574216873812834
